,0,1
10,2019-12-25 21:50:17.931818,"{'bids': [[7216.0, 362513.0], [7215.5, 46801.0], [7215.0, 11626.0], [7214.5, 1142.0], [7214.0, 20321.0], [7213.5, 645.0], [7213.0, 8686.0], [7212.5, 26248.0], [7212.0, 40057.0], [7211.5, 224861.0], [7211.0, 42464.0], [7210.5, 265538.0], [7210.0, 121619.0], [7209.5, 63086.0], [7209.0, 289897.0], [7208.5, 137343.0], [7208.0, 180821.0], [7207.5, 136635.0], [7207.0, 109843.0], [7206.5, 69550.0], [7206.0, 171758.0], [7205.5, 189916.0], [7205.0, 241810.0], [7204.5, 158590.0], [7204.0, 77334.0]], 'asks': [[7216.5, 1442263.0], [7217.0, 81084.0], [7217.5, 57057.0], [7218.0, 327328.0], [7218.5, 293007.0], [7219.0, 182906.0], [7219.5, 281023.0], [7220.0, 415223.0], [7220.5, 198356.0], [7221.0, 86192.0], [7221.5, 279404.0], [7222.0, 191093.0], [7222.5, 33322.0], [7223.0, 145073.0], [7223.5, 130985.0], [7224.0, 148480.0], [7224.5, 90304.0], [7225.0, 207183.0], [7225.5, 221811.0], [7226.0, 82957.0], [7226.5, 19586.0], [7227.0, 44834.0], [7227.5, 109588.0], [7228.0, 8338.0], [7228.5, 51797.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
11,2019-12-25 21:51:18.220008,"{'bids': [[7215.5, 51931.0], [7215.0, 14889.0], [7214.5, 1462.0], [7214.0, 10435.0], [7213.5, 7265.0], [7213.0, 10040.0], [7212.5, 28765.0], [7212.0, 53913.0], [7211.5, 68211.0], [7211.0, 117701.0], [7210.5, 30626.0], [7210.0, 383670.0], [7209.5, 144751.0], [7209.0, 301815.0], [7208.5, 104320.0], [7208.0, 70471.0], [7207.5, 193099.0], [7207.0, 35752.0], [7206.5, 27364.0], [7206.0, 146778.0], [7205.5, 127357.0], [7205.0, 369681.0], [7204.5, 160406.0], [7204.0, 157301.0], [7203.5, 178965.0]], 'asks': [[7216.0, 2257149.0], [7216.5, 538555.0], [7217.0, 75832.0], [7217.5, 62614.0], [7218.0, 349621.0], [7218.5, 443008.0], [7219.0, 251937.0], [7219.5, 179542.0], [7220.0, 419928.0], [7220.5, 78871.0], [7221.0, 158735.0], [7221.5, 73750.0], [7222.0, 173501.0], [7222.5, 141622.0], [7223.0, 131342.0], [7223.5, 155535.0], [7224.0, 155810.0], [7224.5, 81350.0], [7225.0, 214828.0], [7225.5, 157795.0], [7226.0, 158338.0], [7226.5, 9326.0], [7227.0, 155497.0], [7227.5, 34703.0], [7228.0, 18536.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
12,2019-12-25 21:52:18.515384,"{'bids': [[7214.0, 55809.0], [7213.5, 938.0], [7213.0, 8208.0], [7212.5, 9234.0], [7212.0, 27706.0], [7211.5, 29152.0], [7211.0, 56826.0], [7210.5, 40600.0], [7210.0, 87211.0], [7209.5, 36092.0], [7209.0, 171536.0], [7208.5, 36162.0], [7208.0, 288512.0], [7207.5, 231197.0], [7207.0, 63337.0], [7206.5, 172340.0], [7206.0, 194388.0], [7205.5, 153661.0], [7205.0, 397044.0], [7204.5, 158795.0], [7204.0, 140545.0], [7203.5, 129217.0], [7203.0, 123010.0], [7202.5, 200802.0], [7202.0, 237449.0]], 'asks': [[7214.5, 1932855.0], [7215.0, 20043.0], [7215.5, 185618.0], [7216.0, 474242.0], [7216.5, 594717.0], [7217.0, 236423.0], [7217.5, 302683.0], [7218.0, 317895.0], [7218.5, 225768.0], [7219.0, 57143.0], [7219.5, 136241.0], [7220.0, 197069.0], [7220.5, 161177.0], [7221.0, 71649.0], [7221.5, 65385.0], [7222.0, 127757.0], [7222.5, 52065.0], [7223.0, 148264.0], [7223.5, 83840.0], [7224.0, 111640.0], [7224.5, 133655.0], [7225.0, 260698.0], [7225.5, 174324.0], [7226.0, 74021.0], [7226.5, 81562.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
13,2019-12-25 21:53:18.828034,"{'bids': [[7208.0, 980841.0], [7207.5, 82438.0], [7207.0, 183388.0], [7206.5, 116254.0], [7206.0, 103986.0], [7205.5, 272297.0], [7205.0, 364209.0], [7204.5, 253651.0], [7204.0, 280102.0], [7203.5, 181631.0], [7203.0, 243797.0], [7202.5, 191344.0], [7202.0, 178510.0], [7201.5, 111494.0], [7201.0, 100507.0], [7200.5, 181764.0], [7200.0, 493459.0], [7199.5, 109822.0], [7199.0, 129399.0], [7198.5, 224652.0], [7198.0, 281732.0], [7197.5, 169021.0], [7197.0, 187036.0], [7196.5, 230821.0], [7196.0, 116618.0]], 'asks': [[7208.5, 133928.0], [7209.0, 3928.0], [7209.5, 6581.0], [7210.0, 62447.0], [7210.5, 7030.0], [7211.0, 7423.0], [7211.5, 56801.0], [7212.0, 48654.0], [7212.5, 168733.0], [7213.0, 95975.0], [7213.5, 264343.0], [7214.0, 318633.0], [7214.5, 222022.0], [7215.0, 384283.0], [7215.5, 222060.0], [7216.0, 191374.0], [7216.5, 522438.0], [7217.0, 174784.0], [7217.5, 77842.0], [7218.0, 263807.0], [7218.5, 341247.0], [7219.0, 64908.0], [7219.5, 28101.0], [7220.0, 164848.0], [7220.5, 163337.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
14,2019-12-25 21:54:19.182397,"{'bids': [[7208.0, 977018.0], [7207.5, 48386.0], [7207.0, 157680.0], [7206.5, 89907.0], [7206.0, 336909.0], [7205.5, 32910.0], [7205.0, 413338.0], [7204.5, 199331.0], [7204.0, 258418.0], [7203.5, 120288.0], [7203.0, 325081.0], [7202.5, 198223.0], [7202.0, 215186.0], [7201.5, 121905.0], [7201.0, 149861.0], [7200.5, 174083.0], [7200.0, 461874.0], [7199.5, 125291.0], [7199.0, 219839.0], [7198.5, 137725.0], [7198.0, 101148.0], [7197.5, 163497.0], [7197.0, 177326.0], [7196.5, 231681.0], [7196.0, 197374.0]], 'asks': [[7208.5, 583581.0], [7209.0, 22843.0], [7209.5, 40025.0], [7210.0, 47760.0], [7210.5, 42476.0], [7211.0, 11748.0], [7211.5, 66394.0], [7212.0, 96327.0], [7212.5, 208739.0], [7213.0, 142271.0], [7213.5, 221915.0], [7214.0, 316042.0], [7214.5, 284033.0], [7215.0, 307135.0], [7215.5, 226763.0], [7216.0, 212089.0], [7216.5, 455291.0], [7217.0, 269224.0], [7217.5, 88773.0], [7218.0, 188770.0], [7218.5, 193121.0], [7219.0, 53200.0], [7219.5, 137106.0], [7220.0, 173497.0], [7220.5, 89515.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
15,2019-12-25 21:55:19.480377,"{'bids': [[7208.0, 190072.0], [7207.5, 84028.0], [7207.0, 30752.0], [7206.5, 15876.0], [7206.0, 85587.0], [7205.5, 29358.0], [7205.0, 261572.0], [7204.5, 104581.0], [7204.0, 149316.0], [7203.5, 106248.0], [7203.0, 410247.0], [7202.5, 198697.0], [7202.0, 265854.0], [7201.5, 313879.0], [7201.0, 188565.0], [7200.5, 144503.0], [7200.0, 434732.0], [7199.5, 153526.0], [7199.0, 124423.0], [7198.5, 114505.0], [7198.0, 216504.0], [7197.5, 214285.0], [7197.0, 174155.0], [7196.5, 147077.0], [7196.0, 150691.0]], 'asks': [[7208.5, 962871.0], [7209.0, 20978.0], [7209.5, 97966.0], [7210.0, 20173.0], [7210.5, 91624.0], [7211.0, 88945.0], [7211.5, 211927.0], [7212.0, 109473.0], [7212.5, 453439.0], [7213.0, 123580.0], [7213.5, 39872.0], [7214.0, 303935.0], [7214.5, 251903.0], [7215.0, 175833.0], [7215.5, 265681.0], [7216.0, 100392.0], [7216.5, 434309.0], [7217.0, 288747.0], [7217.5, 185140.0], [7218.0, 261402.0], [7218.5, 176727.0], [7219.0, 11255.0], [7219.5, 28719.0], [7220.0, 154830.0], [7220.5, 28883.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
16,2019-12-25 21:56:19.779806,"{'bids': [[7208.0, 308153.0], [7207.5, 84568.0], [7207.0, 46274.0], [7206.5, 9615.0], [7206.0, 101351.0], [7205.5, 45517.0], [7205.0, 468788.0], [7204.5, 150429.0], [7204.0, 287864.0], [7203.5, 193871.0], [7203.0, 281933.0], [7202.5, 126796.0], [7202.0, 374126.0], [7201.5, 328561.0], [7201.0, 178777.0], [7200.5, 67559.0], [7200.0, 477926.0], [7199.5, 55319.0], [7199.0, 94847.0], [7198.5, 175461.0], [7198.0, 136232.0], [7197.5, 241669.0], [7197.0, 124658.0], [7196.5, 126489.0], [7196.0, 147485.0]], 'asks': [[7208.5, 825757.0], [7209.0, 31040.0], [7209.5, 37410.0], [7210.0, 27043.0], [7210.5, 57988.0], [7211.0, 183459.0], [7211.5, 100650.0], [7212.0, 140047.0], [7212.5, 266050.0], [7213.0, 293736.0], [7213.5, 52781.0], [7214.0, 443654.0], [7214.5, 255762.0], [7215.0, 139158.0], [7215.5, 351145.0], [7216.0, 88259.0], [7216.5, 527917.0], [7217.0, 259004.0], [7217.5, 109562.0], [7218.0, 256147.0], [7218.5, 173782.0], [7219.0, 86201.0], [7219.5, 11346.0], [7220.0, 120948.0], [7220.5, 78954.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
17,2019-12-25 21:57:20.192824,"{'bids': [[7204.0, 62873.0], [7203.5, 67263.0], [7203.0, 42919.0], [7202.5, 99724.0], [7202.0, 100134.0], [7201.5, 94201.0], [7201.0, 79052.0], [7200.5, 44479.0], [7200.0, 401267.0], [7199.5, 107331.0], [7199.0, 90282.0], [7198.5, 363715.0], [7198.0, 150771.0], [7197.5, 197637.0], [7197.0, 228936.0], [7196.5, 323785.0], [7196.0, 254576.0], [7195.5, 72619.0], [7195.0, 196854.0], [7194.5, 105649.0], [7194.0, 308468.0], [7193.5, 56607.0], [7193.0, 327348.0], [7192.5, 64641.0], [7192.0, 280426.0]], 'asks': [[7204.5, 1491233.0], [7205.0, 194516.0], [7205.5, 411692.0], [7206.0, 419399.0], [7206.5, 649884.0], [7207.0, 60405.0], [7207.5, 510270.0], [7208.0, 35774.0], [7208.5, 271401.0], [7209.0, 171334.0], [7209.5, 229416.0], [7210.0, 195955.0], [7210.5, 331634.0], [7211.0, 84245.0], [7211.5, 33424.0], [7212.0, 177531.0], [7212.5, 61134.0], [7213.0, 66830.0], [7213.5, 61042.0], [7214.0, 40318.0], [7214.5, 54464.0], [7215.0, 38174.0], [7215.5, 66818.0], [7216.0, 150221.0], [7216.5, 428759.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
18,2019-12-25 21:58:20.508756,"{'bids': [[7201.5, 105120.0], [7201.0, 81960.0], [7200.5, 141027.0], [7200.0, 420516.0], [7199.5, 23564.0], [7199.0, 39968.0], [7198.5, 39140.0], [7198.0, 91093.0], [7197.5, 221171.0], [7197.0, 271656.0], [7196.5, 466456.0], [7196.0, 87701.0], [7195.5, 99473.0], [7195.0, 174031.0], [7194.5, 81536.0], [7194.0, 282918.0], [7193.5, 48349.0], [7193.0, 326147.0], [7192.5, 135435.0], [7192.0, 225671.0], [7191.5, 31313.0], [7191.0, 234584.0], [7190.5, 217493.0], [7190.0, 479269.0], [7189.5, 211151.0]], 'asks': [[7202.0, 1103054.0], [7202.5, 196916.0], [7203.0, 182497.0], [7203.5, 51118.0], [7204.0, 226190.0], [7204.5, 210499.0], [7205.0, 103747.0], [7205.5, 29923.0], [7206.0, 526714.0], [7206.5, 327913.0], [7207.0, 277259.0], [7207.5, 252542.0], [7208.0, 303816.0], [7208.5, 285553.0], [7209.0, 82374.0], [7209.5, 98612.0], [7210.0, 189620.0], [7210.5, 257999.0], [7211.0, 54015.0], [7211.5, 21637.0], [7212.0, 127059.0], [7212.5, 75779.0], [7213.0, 33240.0], [7213.5, 106539.0], [7214.0, 83218.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
19,2019-12-25 21:59:20.820841,"{'bids': [[7205.0, 633102.0], [7204.5, 95037.0], [7204.0, 26867.0], [7203.5, 88022.0], [7203.0, 146121.0], [7202.5, 104340.0], [7202.0, 100565.0], [7201.5, 125829.0], [7201.0, 422272.0], [7200.5, 176853.0], [7200.0, 537821.0], [7199.5, 95198.0], [7199.0, 149641.0], [7198.5, 58435.0], [7198.0, 204864.0], [7197.5, 268767.0], [7197.0, 150290.0], [7196.5, 88277.0], [7196.0, 86596.0], [7195.5, 35782.0], [7195.0, 188977.0], [7194.5, 211397.0], [7194.0, 185196.0], [7193.5, 37151.0], [7193.0, 310136.0]], 'asks': [[7205.5, 86710.0], [7206.0, 7004.0], [7206.5, 43605.0], [7207.0, 64529.0], [7207.5, 21919.0], [7208.0, 23488.0], [7208.5, 174726.0], [7209.0, 53651.0], [7209.5, 338951.0], [7210.0, 190067.0], [7210.5, 494684.0], [7211.0, 135425.0], [7211.5, 64072.0], [7212.0, 159499.0], [7212.5, 180081.0], [7213.0, 94215.0], [7213.5, 109759.0], [7214.0, 39432.0], [7214.5, 109936.0], [7215.0, 128476.0], [7215.5, 191203.0], [7216.0, 176452.0], [7216.5, 368344.0], [7217.0, 61924.0], [7217.5, 108082.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
