,FinalPL,range,hist,prob,ave_tot,sigma,,,t-stat
2018/6/5,0,81000,0,0,,,,0,
2018/6/6,-1558,82000,0,0,,,,0,
2018/6/7,0,83000,1,0.002985075,,,,0,
2018/6/8,0,84000,0,0,,,,0,
2018/6/9,0,85000,0,0,,,,0,
2018/6/10,-421,86000,0,0,,,,0,
2018/6/11,-2551,87000,0,0,,,,0,
2018/6/12,0,88000,0,0,,,,0,
2018/6/13,-4136,89000,0,0,,,,0,
2018/6/14,-1380,90000,0,0,,,,0,
2018/6/15,-1077,91000,0,0,,,,0,
2018/6/16,0,92000,0,0,,,,0,
2018/6/17,0,93000,0,0,,,,0,
2018/6/18,0,94000,0,0,,,,0,
2018/6/19,0,95000,0,0,,,,0,
2018/6/20,0,96000,0,0,,,,0,
2018/6/21,0,97000,0,0,,,,0,
2018/6/22,-81,98000,0,0,,,,0,
2018/6/23,-33,99000,0,0,,,,0,
2018/6/24,977,100000,0,0,,,,0,
2018/6/25,0,,,,,,,0,
2018/6/26,0,,,,,,,0,
2018/6/27,-629,,,,,,,0,
2018/6/28,296,-4061,,,,,,0,
2018/6/29,1439, ,,,,,,0,
2018/6/30,106,,,,,,,0,
2018/7/1,-4278,,,,,,,0,
2018/7/2,6286,,,,,,,0,
2018/7/3,823,,,,,,,0,
2018/7/4,2922,,,,,,,0,
2018/7/5,-563,,,,,,,0,
2018/7/6,-900,,,,,,,0,
2018/7/7,3208,,,,,,,0,
2018/7/8,0,,,,,,,0,
2018/7/9,0,,,,,,,0,
2018/7/10,0,,,,,,,0,
2018/7/11,-859,,,,,,,0,
2018/7/12,4997,,,,,,,0,
2018/7/13,-1891,,,,,,,0,
2018/7/14,0,,,,,,,0,
2018/7/15,0,,,,,,,0,
2018/7/16,-2102,,,,,,,0,
2018/7/17,6435,,,,,,,0,
2018/7/18,54,,,,,,,0,
2018/7/19,-2817,,,,,,,0,
2018/7/20,6217,,,,,,,0,
2018/7/21,333,,,,,,,0,
2018/7/22,693,,,,,,,0,
2018/7/23,-1674,,,,,,,0,
2018/7/24,800,,,,,,,0,
2018/7/25,446,,,,,,,0,
2018/7/26,-1655,,,,,,,0,
2018/7/27,830,,,,,,,0,
2018/7/28,-2128,,,,,,,0,
2018/7/29,-1082,15640,,,,,,0,
2018/7/30,-7487, ,,,,,,0,
2018/7/31,799,,,,,,,0,
2018/8/1,-2708,,,,,,,0,
2018/8/2,-771,,,,,,,0,
2018/8/3,1699,,,,,,,0,
2018/8/4,2467,,,,,,,0,
2018/8/5,-2231,,,,,,,0,
2018/8/6,0,,,,,,,0,
2018/8/7,1096,,,,,,,0,
2018/8/8,-3238,,,,,,,0,
2018/8/9,9734,,,,,,,0,
2018/8/10,4992,,,,,,,0,
2018/8/11,8311,,,,,,,0,
2018/8/12,3330,,,,,,,0,
2018/8/13,-10062,,,,,,,0,
2018/8/14,-1536,,,,,,,0,
2018/8/15,-3342,,,,,,,0,
2018/8/16,778,,,,,,,0,
2018/8/17,-546,,,,,,,0,
2018/8/18,373,,,,,,,0,
2018/8/19,-1134,,,,,,,0,
2018/8/20,-1910,,,,,,,0,
2018/8/21,2007,,,,,,,0,
2018/8/22,6951,,,,,,,0,
2018/8/23,0,,,,,,,0,
2018/8/24,-894,,,,,,,0,
2018/8/25,0,,,,,,,0,
2018/8/26,0,,,,,,,0,
2018/8/27,3356,,,,,,,0,
2018/8/28,0,,,,,,,0,
2018/8/29,0,10034,,,,,,0,
2018/8/30,0, ,,,,,,0,
2018/8/31,0,,,,,,,0,
2018/9/1,2108,,,,,,,0,
2018/9/2,0,,,,,,,0,
2018/9/3,0,,,,,,,0,
2018/9/4,0,,,,,,,0,
2018/9/5,0,,,,,,,0,
2018/9/6,0,,,,,,,0,
2018/9/7,2300,,,,,,,0,
2018/9/8,-729,,,,,,,0,
2018/9/9,-6774,,,,,,,0,
2018/9/10,-596,,,,,,,0,
2018/9/11,-2143,,,,,,,0,
2018/9/12,29,,,,,,,0,
2018/9/13,-3493,,,,,,,0,
2018/9/14,0,,,,,,,0,
2018/9/15,0,,,,,,,0,
2018/9/16,0,,,,,,,0,
2018/9/17,0,,,,,,,0,
2018/9/18,0,,,,,,,0,
2018/9/19,5493,,,,,,,0,
2018/9/20,-751,,,,,,,0,
2018/9/21,2857,,,,,,,0,
2018/9/22,3882,,,,,,,0,
2018/9/23,0,,,,,,,0,
2018/9/24,61,,,,,,,0,
2018/9/25,867,,,,,,,0,
2018/9/26,-1414,,,,,,,0,
2018/9/27,2953,,,,,,,0,
2018/9/28,-3178,,,,,,,0,
2018/9/29,0,1472,,,,,,0,
2018/9/30,0, ,,,,,,0,
2018/10/1,0,,,,,,,0,
2018/10/2,0,,,,,,,0,
2018/10/3,0,,,,,,,0,
2018/10/4,0,,,,,,,0,
2018/10/5,0,,,,,,,0,
2018/10/6,0,,,,,,,0,
2018/10/7,446,,,,,,,0,
2018/10/8,-585,,,,,,,0,
2018/10/9,0,,,,,,,0,
2018/10/10,0,,,,,,,0,
2018/10/11,-813,,,,,,,0,
2018/10/12,0,,,,,,,0,
2018/10/13,0,,,,,,,0,
2018/10/14,0,,,,,,,0,
2018/10/15,4933,,,,,,,0,
2018/10/16,0,,,,,,,0,
2018/10/17,0,,,,,,,0,
2018/10/18,0,,,,,,,0,
2018/10/19,0,,,,,,,0,
2018/10/20,0,,,,,,,0,
2018/10/21,0,,,,,,,0,
2018/10/22,0,,,,,,,0,
2018/10/23,0,,,,,,,0,
2018/10/24,100,,,,,,,0,
2018/10/25,0,,,,,,,0,
2018/10/26,-1712,,,,,,,0,
2018/10/27,0,,,,,,,0,
2018/10/28,0,,,,,,,0,
2018/10/29,1284,,,,,,,0,
2018/10/30,0,3653,,,,,,0,
2018/10/31,0, ,,,,,,0,
2018/11/1,0,,,,,,,0,
2018/11/2,0,,,,,,,0,
2018/11/3,0,,,,,,,0,
2018/11/4,-2250,,,,,,,0,
2018/11/5,0,,,,,,,0,
2018/11/6,0,,,,,,,0,
2018/11/7,0,,,,,,,0,
2018/11/8,0,,,,,,,0,
2018/11/9,0,,,,,,,0,
2018/11/10,0,,,,,,,0,
2018/11/11,0,,,,,,,0,
2018/11/12,0,,,,,,,0,
2018/11/13,0,,,,,,,0,
2018/11/14,12390,,,,,,,0,
2018/11/15,2878,,,,,,,0,
2018/11/16,-96,,,,,,,0,
2018/11/17,0,,,,,,,0,
2018/11/18,2,,,,,,,0,
2018/11/19,3689,,,,,,,0,
2018/11/20,38603,,,,,,,0,
2018/11/21,-217,,,,,,,0,
2018/11/22,0,,,,,,,0,
2018/11/23,-1030,,,,,,,0,
2018/11/24,2467,,,,,,,0,
2018/11/25,7583,,,,,,,0,
2018/11/26,3718,,,,,,,0,
2018/11/27,-2835,,,,,,,0,
2018/11/28,-2815,,,,,,,0,
2018/11/29,280,,,,,,,0,
2018/11/30,-1607,60760,,,,,,0,
2018/12/1,-1934, ,,,,,,0,
2018/12/2,-1971,,,,,,,0,
2018/12/3,596,,,,,,,0,
2018/12/4,-2899,,,,,,,0,
2018/12/5,0,,,,,,,0,
2018/12/6,1055,,,,,,,0,
2018/12/7,-3713,,,,,,,0,
2018/12/8,-894,,,,,,,0,
2018/12/9,-2262,,,,,,,0,
2018/12/10,8246,,,,,,,0,
2018/12/11,-1227,,,,,,,0,
2018/12/12,89,,,,,,,0,
2018/12/13,0,,,,,,,0,
2018/12/14,-1848,,,,,,,0,
2018/12/15,0,,,,,,,0,
2018/12/16,0,,,,,,,0,
2018/12/17,-938,,,,,,,0,
2018/12/18,0,,,,,,,0,
2018/12/19,0,,,,,,,0,
2018/12/20,2713,,,,,,,0,
2018/12/21,-789,,,,,,,0,
2018/12/22,9539,,,,,,,0,
2018/12/23,200,,,,,,,0,
2018/12/24,-3756,,,,,,,0,
2018/12/25,3879,,,,,,,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,4086,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,7862,,,,,,,
