Time,Start,Max,Min,End,Tot_trans
1543795200000,467319,469358,467319,469358,3.1713
1543795260000,469017,469017,467985,467985,1.4847
1543795320000,467968,468406,467500,467500,1.4186
1543795380000,467500,467500,467500,467500,0.0000
1543795440000,467657,468052,467000,467546,1.3937
1543795500000,467220,467484,467000,467000,1.1340
1543795560000,467005,467210,467000,467210,0.1109
1543795620000,467025,467025,466692,466692,1.2871
1543795680000,466692,466692,465526,465535,4.1650
1543795740000,465749,465939,464500,464636,2.3257
1543795800000,464520,465072,464516,464715,5.9253
1543795860000,464725,466641,464721,466298,4.9302
1543795920000,466328,466910,465853,466910,1.4661
1543795980000,466393,466843,466296,466296,0.3229
1543796040000,466296,466296,465706,465775,0.7363
1543796100000,465790,466444,465775,466444,1.4010
1543796160000,466185,466185,466185,466185,0.0279
1543796220000,466196,466200,465669,465669,1.6592
1543796280000,465643,465800,465116,465116,1.0605
1543796340000,465117,465298,464864,465070,1.1450
1543796400000,465483,465725,464819,465153,0.4034
1543796460000,464815,465281,464815,465127,0.5346
1543796520000,465127,466620,465126,465661,0.6622
1543796580000,466010,466232,465246,465246,0.3317
1543796640000,465666,466117,465111,465111,0.3630
1543796700000,465296,465305,464220,464789,2.5286
1543796760000,464717,465065,464700,465065,0.5744
1543796820000,465045,465181,463339,463670,0.5969
1543796880000,463349,463984,463349,463966,1.9173
1543796940000,463647,463966,463000,463000,2.3578
1543797000000,463000,463199,461000,461930,5.5874
1543797060000,461900,463168,461890,462194,3.4398
1543797120000,462010,462352,461637,461637,2.1544
1543797180000,461637,462804,461637,462305,1.8665
1543797240000,462305,463259,462184,462184,0.7718
1543797300000,462200,464336,462190,464336,1.4555
1543797360000,463647,464688,463425,463825,0.5344
1543797420000,463678,464666,463564,463901,0.6379
1543797480000,464015,464015,463340,463340,0.7585
1543797540000,463815,465000,463564,464055,0.8221
1543797600000,463998,464065,463412,463804,4.4832
1543797660000,463498,464558,463490,464135,0.9664
1543797720000,464201,464552,464181,464300,1.0395
1543797780000,464300,464985,464152,464153,2.8245
1543797840000,464153,464583,463818,464583,0.4930
