Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,Higeindex,PL
1520467200000,1055005,1055010,1052028,1052051,0.638,1053519,-1,0,0,0
1520467260000,1053208,1057999,1052071,1052071,1.2383,1055035,-1,0,0,0
1520467320000,1052328,1056899,1052028,1052029,1.6265,1054463,-1,-2,0,0
1520467380000,1055000,1055000,1052029,1052123,0.185,1053514,-1,-2,0,0
1520467440000,1054330,1055380,1054310,1055380,0.7116,1054845,1,0,1,0
1520467500000,1054617,1056999,1054600,1056999,0.5371,1055799,1,2,1,0
1520467560000,1057000,1059106,1057000,1059106,1.7362,1058053,1,2,1,0
1520467620000,1059118,1060645,1057521,1059999,1.1935,1059083,0,1,0,2118
1520467680000,1060408,1062000,1057960,1057983,1.8558,1059980,-1,-1,0,2118
1520467740000,1059319,1059329,1057983,1058965,0.9445,1058656,-1,-2,0,2118
1520467800000,1058016,1059945,1058001,1058100,1.4844,1058973,0,-1,0,2118
1520467860000,1058210,1058210,1055117,1057333,1.5962,1056663,-1,-1,0,2118
1520467920000,1056713,1056713,1055348,1055348,0.035,1056030,-1,-2,0,2118
1520467980000,1055675,1058371,1055675,1058282,0.1818,1057023,1,0,1,2118
1520468040000,1056000,1058224,1056000,1056023,0.005,1057112,0,1,0,2118
1520468100000,1058131,1058884,1058046,1058884,0.3918,1058465,0,0,1,2118
1520468160000,1058101,1059747,1058081,1059747,0.7586,1058914,1,1,1,2118
1520468220000,1059757,1062000,1059757,1062000,1.9349,1060878,1,2,1,2118
1520468280000,1061562,1062110,1061562,1061990,2.6054,1061836,0,1,0,2118
1520468340000,1062000,1065000,1062000,1065000,0.7748,1063500,1,1,1,2556
1520468400000,1065000,1066884,1064264,1066884,2.7366,1065574,1,2,1,2556
1520468460000,1066884,1069000,1065244,1065739,0.8442,1067122,-1,0,0,2556
1520468520000,1066210,1069010,1066210,1068973,2.2733,1067610,1,0,1,2556
1520468580000,1067571,1072990,1067571,1072990,3.2269,1070280,1,2,1,2556
1520468640000,1072499,1072509,1068990,1070000,3.2611,1070749,-1,0,0,2556
1520468700000,1069998,1072376,1068000,1068686,2.9264,1070188,-1,-2,0,2556
1520468760000,1068687,1070070,1067000,1068000,2.0007,1068535,-1,-2,0,2556
1520468820000,1068000,1069898,1067000,1068000,1.3325,1068449,0,-1,0,2556
1520468880000,1067994,1069546,1067994,1069472,0.4009,1068770,1,1,1,2556
1520468940000,1069462,1071003,1069231,1071003,1.2666,1070117,1,2,1,2556
1520469000000,1071003,1072000,1070343,1070988,1.1423,1071171,-1,0,0,2556
1520469060000,1070998,1071995,1070998,1071038,0.7714,1071496,0,-1,0,2556
1520469120000,1071038,1072000,1070987,1070987,2.585,1071493,-1,-1,0,2591
1520469180000,1070987,1070992,1070000,1070000,2.3496,1070496,-1,-2,0,2591
1520469240000,1070005,1070005,1070000,1070000,2.0055,1070002,-1,-2,0,2591
1520469300000,1070000,1070000,1068241,1068241,0.3575,1069120,-1,-2,0,2591
1520469360000,1068121,1068126,1067000,1067011,0.9102,1067563,-1,-2,0,2591
1520469420000,1067011,1070005,1066989,1070005,1.3582,1068497,1,0,1,2591
1520469480000,1070005,1070005,1068940,1069034,0.1603,1069472,-1,0,0,2591
1520469540000,1069000,1069000,1065006,1065204,1.1554,1067003,-1,-2,0,2591
1520469600000,1067382,1070218,1065115,1068201,1.8383,1067666,0,-1,0,2591
1520469660000,1070743,1070743,1067001,1068029,0.9589,1068872,-1,-1,0,2591
1520469720000,1068028,1069939,1067154,1068100,0.6217,1068546,0,-1,0,2591
1520469780000,1067978,1067978,1067196,1067196,0.2419,1067587,-1,-1,0,2591
1520469840000,1067674,1067766,1067039,1067330,0.6786,1067402,-1,-2,0,2591
1520469900000,1067330,1067995,1066992,1067006,1.0401,1067493,-1,-2,0,2591
1520469960000,1067027,1068000,1067006,1067006,0.6766,1067503,-1,-2,0,2591
1520470020000,1067016,1068000,1064292,1064292,1.5624,1066146,-1,-2,0,2591
1520470080000,1064270,1066889,1064005,1066769,0.8543,1065447,1,0,1,2591
1520470140000,1066770,1066770,1064149,1064200,1.4022,1065459,-1,0,0,2591
1520470200000,1064045,1065960,1064045,1065725,0.2377,1065002,1,0,1,2591
1520470260000,1065705,1065883,1065705,1065883,0.4454,1065794,0,1,1,2591
1520470320000,1066712,1066999,1066712,1066999,0.5132,1066855,0,0,1,2591
1520470380000,1066999,1068000,1066999,1068000,1.1196,1067499,1,1,1,2591
1520470440000,1068000,1069000,1065111,1065111,1.5816,1067055,-1,0,0,2591
1520470500000,1067964,1069000,1067843,1069000,1.1158,1068421,1,0,1,2591
1520470560000,1068160,1068310,1068160,1068300,0.32,1068235,0,1,1,2591
1520470620000,1068994,1069000,1065237,1065237,1.0371,1067118,-1,-1,0,2591
1520470680000,1065590,1065628,1065571,1065628,0.6377,1065599,0,-1,1,2591
1520470740000,1065677,1066584,1065672,1066357,0.1851,1066128,0,0,0,2591
1520470800000,1066146,1067011,1066146,1067000,0.3281,1066578,0,0,1,2591
1520470860000,1066993,1066993,1066993,1066993,0.0176,1066993,0,0,0,2591
1520470920000,1066993,1067915,1066993,1067000,0.3772,1067454,0,0,0,2591
1520470980000,1067000,1067000,1065346,1066990,0.7683,1066173,-1,-1,0,2591
1520471040000,1065462,1066995,1065456,1066872,0.6701,1066225,1,0,1,2591
1520471100000,1066861,1067021,1066861,1067003,1.9952,1066941,0,1,1,2591
1520471160000,1067018,1069000,1067001,1067620,0.8678,1068000,0,0,0,2591
1520471220000,1067520,1071999,1067520,1071999,3.0562,1069759,1,1,1,2591
1520471280000,1071580,1071590,1069001,1071299,0.8801,1070295,-1,0,0,2591
1520471340000,1070203,1071280,1062838,1070838,4.6956,1067059,0,-1,0,2591
1520471400000,1068008,1071468,1068008,1071468,1.5708,1069738,1,1,1,2591
1520471460000,1071467,1071468,1070310,1070833,1.1504,1070889,-1,0,0,2591
1520471520000,1070834,1071095,1068958,1068985,1.6369,1070026,-1,-2,0,2591
1520471580000,1069103,1073886,1067000,1073885,8.746,1070443,1,0,1,2591
1520471640000,1071004,1073759,1070971,1072199,0.8562,1072365,1,2,0,2591
1520471700000,1072199,1073885,1071978,1073880,1.7631,1072931,1,2,1,2591
1520471760000,1073880,1075000,1073000,1075000,5.8369,1074000,1,2,1,2591
1520471820000,1075000,1075998,1073414,1073974,0.5706,1074706,-1,0,0,2591
1520471880000,1075962,1075991,1073111,1073111,2.3235,1074551,-1,-2,0,3553
1520471940000,1073876,1074500,1073111,1074211,0.7475,1073805,0,-1,0,3553
1520472000000,1074021,1074237,1072760,1074190,1.1708,1073498,0,0,0,3553
1520472060000,1072870,1074190,1071983,1072885,1.4594,1073086,0,0,0,3553
1520472120000,1073317,1073459,1071978,1072003,0.3233,1072718,-1,-1,0,3553
1520472180000,1073367,1073499,1070751,1072508,1.037,1072125,-1,-2,0,3553
1520472240000,1072009,1072458,1070288,1071901,0.3451,1071373,-1,-2,0,3553
1520472300000,1071115,1073980,1071115,1073196,0.7237,1072547,1,0,0,3553
1520472360000,1073197,1073990,1072649,1072677,1.561,1073319,-1,0,0,3553
1520472420000,1072682,1073926,1071301,1072346,1.4225,1072613,-1,-2,0,3553
1520472480000,1071533,1072945,1070322,1070990,0.4536,1071633,-1,-2,0,3553
1520472540000,1070342,1070951,1069075,1070305,0.9752,1070013,-1,-2,0,3553
1520472600000,1070825,1070830,1069000,1070372,1.8202,1069915,-1,-2,0,3553
1520472660000,1070040,1070500,1069006,1070500,1.0986,1069753,0,-1,1,3553
1520472720000,1070154,1072905,1069820,1072763,1.9137,1071362,1,1,1,3553
1520472780000,1070726,1071690,1069781,1069886,0.9943,1070735,-1,0,0,3553
1520472840000,1069881,1069881,1065000,1067013,2.6896,1067440,-1,-2,0,3553
1520472900000,1067013,1067013,1062060,1062070,2.2112,1064536,-1,-2,0,3553
1520472960000,1063180,1065375,1060001,1060001,3.0917,1062688,-1,-2,0,3553
1520473020000,1060006,1060937,1057392,1060236,3.2983,1059164,0,-1,0,3553
1520473080000,1060231,1060231,1056000,1056000,4.2399,1058115,-1,-1,0,3553
1520473140000,1055899,1058980,1055718,1057602,2.2322,1057349,1,0,0,3553
1520473200000,1056718,1057568,1052028,1052029,3.4336,1054798,-1,0,0,3553
1520473260000,1053015,1054000,1049000,1049000,2.8175,1051500,-1,-2,0,3553
1520473320000,1048002,1053999,1042309,1052557,4.4841,1048154,1,0,0,3553
1520473380000,1052126,1055000,1052126,1052211,1.7161,1053563,0,1,0,3553
1520473440000,1052216,1053244,1050869,1052105,1.3867,1052056,-1,-1,0,3553
1520473500000,1053111,1057010,1053111,1055227,2.1484,1055060,1,0,0,3553
1520473560000,1053752,1056399,1053731,1054463,1.1238,1055065,0,1,0,3553
1520473620000,1053741,1058593,1053731,1054230,0.8761,1056162,0,0,0,3553
1520473680000,1057115,1059998,1057000,1057147,2.9825,1058499,0,0,0,3553
1520473740000,1057147,1060898,1056147,1057209,6.1254,1058522,0,0,0,3553
1520473800000,1057573,1057573,1056001,1056520,2.1862,1056787,-1,-1,0,3553
1520473860000,1056900,1058049,1056424,1058049,1.5465,1057236,1,0,1,3553
1520473920000,1057511,1058741,1056520,1058485,1.7319,1057630,0,1,0,3553
1520473980000,1058547,1059959,1056549,1056859,0.8547,1058254,-1,-1,0,3553
1520474040000,1058471,1060000,1057090,1058487,0.4556,1058545,0,-1,0,3553
1520474100000,1058494,1059000,1058374,1058696,0.5746,1058687,0,0,0,3553
1520474160000,1058990,1059505,1057147,1059025,0.5418,1058326,0,0,0,3553
1520474220000,1059508,1061783,1059507,1061405,1.4536,1060645,1,1,1,3553
1520474280000,1060939,1060939,1059218,1060425,1.5618,1060078,-1,0,0,3553
1520474340000,1060434,1060832,1059000,1060754,1.6639,1059916,0,-1,0,3553
1520474400000,1059100,1066995,1058520,1058520,2.877,1062757,-1,-1,0,3553
1520474460000,1058500,1059786,1056649,1056657,1.9899,1058217,-1,-2,0,3553
1520474520000,1056649,1057500,1052000,1052000,3.9462,1054750,-1,-2,0,3553
1520474580000,1052000,1052000,1050000,1050000,4.985,1051000,-1,-2,0,3553
1520474640000,1050000,1051999,1047004,1049457,3.4152,1049501,-1,-2,0,3553
1520474700000,1049504,1049515,1047004,1048018,1.3898,1048259,-1,-2,0,3553
1520474760000,1048979,1049400,1045851,1049399,4.6218,1047625,0,-1,1,3553
1520474820000,1048877,1049400,1048455,1048470,0.4516,1048927,-1,-1,0,3553
1520474880000,1048459,1048728,1043299,1043299,1.8854,1046013,-1,-2,0,3553
1520474940000,1044438,1044999,1040155,1041494,2.4552,1042577,-1,-2,0,3553
1520475000000,1041493,1046000,1041493,1045844,3.432,1043746,1,0,1,3553
1520475060000,1045791,1045791,1042771,1044400,1.0612,1044281,-1,0,0,3553
1520475120000,1044397,1045000,1042852,1045000,1.9644,1043926,0,-1,1,3553
1520475180000,1044897,1045885,1043000,1043000,0.8957,1044442,-1,-1,0,3553
1520475240000,1043010,1045000,1041006,1042212,3.0105,1043003,-1,-2,0,3553
1520475300000,1042261,1042409,1040000,1040000,1.4283,1041204,-1,-2,0,3553
1520475360000,1040000,1040010,1036059,1039520,2.5764,1038034,-1,-2,0,3553
1520475420000,1039818,1044439,1037758,1043779,3.915,1041098,1,0,1,3553
1520475480000,1043125,1043125,1040437,1041965,1.4028,1041781,-1,0,0,3553
1520475540000,1041995,1043870,1041268,1042097,2.0508,1042569,0,-1,0,3553
1520475600000,1042095,1043000,1041111,1042001,1.4985,1042055,-1,-1,0,3553
1520475660000,1042400,1044261,1042001,1042516,1.4876,1043131,0,-1,0,3553
1520475720000,1042531,1042722,1038003,1039037,4.0165,1040362,-1,-1,0,3553
1520475780000,1039893,1039960,1034987,1034988,2.8129,1037473,-1,-2,0,3553
1520475840000,1034987,1035879,1030900,1030900,3.9144,1033389,-1,-2,0,3553
1520475900000,1030905,1034000,1030901,1032964,1.7406,1032450,1,0,0,3553
1520475960000,1031777,1035000,1031627,1034878,2.9864,1033313,1,2,1,3553
1520476020000,1032179,1033984,1030900,1031286,2.2152,1032442,-1,0,0,3553
1520476080000,1030496,1034999,1030476,1032632,3.0444,1032737,1,0,0,3553
1520476140000,1034862,1035999,1032654,1035000,1.543,1034326,0,1,0,3553
1520476200000,1034031,1038999,1034031,1035907,1.8032,1036515,1,1,0,3553
1520476260000,1035216,1035220,1032023,1032843,2.1972,1033621,-1,0,0,3553
1520476320000,1033651,1035209,1031312,1033423,2.225,1033260,-1,-2,0,3553
1520476380000,1032792,1033397,1032516,1033135,1.3304,1032956,0,-1,0,3553
1520476440000,1033135,1035206,1033031,1035206,2.318,1034118,1,1,1,3553
1520476500000,1034720,1036775,1033149,1035214,1.9293,1034962,0,1,0,3553
1520476560000,1035219,1036989,1035001,1035025,2.1602,1035995,-1,-1,0,3553
1520476620000,1035023,1036941,1034666,1034971,0.8066,1035803,-1,-2,0,3553
1520476680000,1035772,1036444,1034991,1035329,0.3311,1035717,-1,-2,0,3553
1520476740000,1035794,1035794,1033030,1034661,4.3305,1034412,-1,-2,0,3553
1520476800000,1033820,1035080,1032000,1035080,0.9784,1033540,1,0,1,3553
1520476860000,1035080,1035500,1035080,1035140,0.7359,1035290,0,1,0,3553
1520476920000,1035317,1036156,1035120,1036156,2.4464,1035638,0,0,1,3553
1520476980000,1036156,1042052,1036156,1042047,1.853,1039104,1,1,1,3553
1520477040000,1042042,1042042,1040048,1040073,0.2407,1041045,-1,0,0,3553
1520477100000,1041343,1043000,1040815,1043000,0.2721,1041907,1,0,1,3553
1520477160000,1041431,1042780,1041000,1041000,1.6018,1041890,-1,0,0,3553
1520477220000,1041010,1041999,1036111,1041999,3.7318,1039055,0,-1,1,3553
1520477280000,1042015,1042995,1038307,1042839,1.7858,1040651,0,0,1,3553
1520477340000,1041652,1042838,1040718,1042580,0.8156,1041778,0,0,0,3553
1520477400000,1042591,1042611,1040000,1041810,1.654,1041305,-1,-1,0,3553
1520477460000,1041460,1042562,1040021,1040682,2.2443,1041291,-1,-2,0,3553
1520477520000,1040010,1040436,1036731,1036731,1.7548,1038583,-1,-2,0,3553
1520477580000,1036743,1039334,1036090,1039334,4.3164,1037712,1,0,1,3553
1520477640000,1039339,1039886,1035829,1035829,1.49,1037857,-1,0,0,3553
1520477700000,1035589,1037668,1035000,1035000,3.0774,1036334,-1,-2,0,3553
1520477760000,1035000,1035010,1031111,1031531,7.7967,1033060,-1,-2,0,3553
1520477820000,1031111,1032003,1021799,1031095,8.7069,1026901,-1,-2,0,3553
1520477880000,1031085,1032002,1029801,1030995,1.8746,1030901,-1,-2,0,3553
1520477940000,1030889,1030998,1023900,1029207,1.9046,1027449,-1,-2,0,3553
1520478000000,1029003,1031060,1027798,1031060,2.1103,1029429,1,0,1,3553
1520478060000,1031552,1031993,1029447,1031599,0.372,1030720,0,1,0,3553
1520478120000,1031589,1031993,1030001,1030940,1.4381,1030997,-1,-1,0,3553
1520478180000,1030940,1031887,1028111,1030995,3.9299,1029999,0,-1,0,3553
1520478240000,1029982,1031000,1026836,1028168,2.6318,1028918,-1,-1,0,3553
1520478300000,1028168,1029858,1026859,1028212,0.6494,1028358,0,-1,0,3553
1520478360000,1028124,1031262,1027108,1031262,5.5607,1029185,1,1,1,3553
1520478420000,1031262,1035000,1031262,1032582,0.8721,1033131,1,2,0,3553
1520478480000,1032682,1032682,1031404,1032561,4.088,1032043,-1,0,0,3553
1520478540000,1032561,1032565,1031229,1031666,1.2112,1031897,-1,-2,0,3553
1520478600000,1031666,1031666,1030140,1031229,2.0451,1030903,-1,-2,0,3553
1520478660000,1030485,1032183,1030119,1031953,1.1644,1031151,1,0,1,3553
1520478720000,1031973,1031973,1030721,1031334,1.4918,1031347,-1,0,0,3553
1520478780000,1031335,1031335,1027438,1029441,2.2472,1029386,-1,-2,0,3553
1520478840000,1029311,1031000,1028366,1031000,2.539,1029683,1,0,1,3553
1520478900000,1030284,1031282,1029583,1030802,0.5472,1030432,0,1,0,3553
1520478960000,1031282,1031953,1030302,1031952,0.7273,1031127,0,0,1,3553
1520479020000,1031264,1033000,1030850,1033000,2.7602,1031925,1,1,1,3553
1520479080000,1031001,1033198,1031000,1031045,1.0668,1032099,0,1,0,3553
1520479140000,1031045,1032589,1031000,1031464,0.6649,1031794,0,0,0,3553
1520479200000,1031819,1033000,1031469,1031726,1.5283,1032234,-1,-1,0,3553
1520479260000,1031725,1036436,1031720,1034167,1.8835,1034078,1,0,0,3553
1520479320000,1034157,1036406,1033782,1034680,4.705,1035094,0,1,0,3553
1520479380000,1033957,1036999,1033942,1035999,2.1726,1035470,1,1,0,3553
1520479440000,1035999,1037660,1033954,1034881,2.8249,1035807,-1,0,0,3553
1520479500000,1036974,1044950,1036064,1037590,3.5991,1040507,0,-1,0,3553
1520479560000,1037590,1041299,1035001,1035001,2.3256,1038150,-1,-1,0,3553
1520479620000,1035518,1036972,1035001,1035001,2.8215,1035986,-1,-2,0,3553
1520479680000,1035011,1036816,1035000,1036349,1.5055,1035908,1,0,0,3553
1520479740000,1035266,1037000,1035101,1035384,0.7484,1036050,0,1,0,3553
1520479800000,1035740,1036175,1035400,1036175,0.1403,1035787,0,0,1,3553
1520479860000,1035525,1037485,1035384,1036415,2.343,1036434,0,0,0,3553
1520479920000,1036415,1036585,1033902,1033902,3.6667,1035243,-1,-1,0,3553
1520479980000,1033902,1033902,1030000,1030011,1.6057,1031951,-1,-2,0,3553
1520480040000,1030964,1034999,1030885,1034000,1.1975,1032942,1,0,0,3553
1520480100000,1031891,1032233,1030059,1031836,0.5202,1031146,-1,0,0,3553
1520480160000,1031826,1033425,1031374,1032386,0.3977,1032399,0,-1,0,3553
1520480220000,1032386,1033694,1032022,1033425,1.1723,1032858,1,1,0,3553
1520480280000,1033425,1033999,1032000,1033899,0.8277,1032999,0,1,0,3553
1520480340000,1033899,1034510,1033333,1033656,1.3132,1033921,-1,-1,0,3553
1520480400000,1033333,1037610,1033314,1034488,2.0831,1035462,1,0,0,3553
1520480460000,1034498,1037958,1033689,1034403,0.4123,1035823,-1,0,0,3553
1520480520000,1034382,1037727,1033592,1033606,0.71,1035659,-1,-2,0,3553
1520480580000,1033574,1037494,1033569,1034188,0.933,1035531,0,-1,0,3553
1520480640000,1033668,1034941,1033667,1034659,0.2929,1034304,0,0,0,3553
1520480700000,1034948,1036995,1034529,1034644,0.1895,1035762,-1,-1,0,3553
1520480760000,1034604,1037367,1034551,1035000,0.9462,1035959,0,-1,0,3553
1520480820000,1035000,1035030,1035000,1035005,1.1207,1035015,0,0,0,3553
1520480880000,1035010,1036000,1035000,1035040,0.9307,1035500,0,0,0,3553
1520480940000,1035045,1036010,1035010,1035037,0.8051,1035510,-1,-1,0,3553
1520481000000,1035020,1035222,1032149,1032160,4.3917,1033685,-1,-2,0,3553
1520481060000,1032161,1034994,1032004,1032004,1.8856,1033499,-1,-2,0,3553
