Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1541462400000,724554,724583,724519,724519,0.0272,724551,-1,0,0
1541462460000,724557,724584,724544,724574,0.1494,724564,0,0,0
1541462520000,724574,724610,724574,724595,1.0078,724592,0,0,0
1541462580000,724595,724729,724595,724729,0.0816,724662,0,0,0
1541462640000,724681,724740,724681,724729,0.3957,724710,0,0,0
1541462700000,724734,724755,724734,724751,0.2881,724744,0,0,0
1541462760000,724740,724751,724729,724732,0.7539,724740,-1,-1,0
1541462820000,724732,724765,724730,724765,0.1691,724747,0,-1,0
1541462880000,724765,724849,724764,724849,0.1215,724806,0,0,0
1541462940000,724769,724799,724744,724761,1.4641,724771,-1,-1,0
1541463000000,724760,724999,724760,724786,0.9184,724879,0,-1,0
1541463060000,724790,724969,724760,724969,1.4156,724864,0,0,0
1541463120000,724879,724918,724760,724765,1.2041,724839,-1,-1,0
1541463180000,724765,724900,724607,724806,1.6925,724753,0,-1,0
1541463240000,724712,724810,724582,724600,2.5179,724696,-1,-1,0
1541463300000,724610,724794,724600,724740,1.3399,724697,0,-1,0
1541463360000,724647,724760,724500,724668,1.424,724630,0,0,0
1541463420000,724624,724784,724505,724696,0.7662,724644,0,0,0
1541463480000,724680,724691,724500,724501,0.5969,724595,-1,-1,0
1541463540000,724592,724669,724530,724600,0.204,724599,0,-1,0
1541463600000,724583,724602,724546,724581,2.1807,724574,-1,-1,0
1541463660000,724568,724581,724568,724572,1.1166,724574,0,-1,0
1541463720000,724580,724581,724352,724557,4.7165,724466,-1,-1,0
1541463780000,724552,724800,724393,724634,2.3541,724596,0,-1,0
1541463840000,724644,724746,724598,724738,2.1673,724672,0,0,0
1541463900000,724644,724848,724285,724592,1.9937,724566,-1,-1,0
1541463960000,724602,724652,724428,724652,1.5919,724540,0,-1,0
1541464020000,724609,724892,724507,724659,2.0526,724699,0,0,0
1541464080000,724659,724999,724655,724800,2.9707,724827,0,0,0
1541464140000,724800,724999,724650,724968,3.2707,724824,0,0,0
1541464200000,724868,725000,724720,724989,3.8165,724860,0,0,0
1541464260000,724868,725000,724720,724789,3.1805,724860,-1,-1,0
1541464320000,724720,724978,724719,724725,2.0262,724848,0,-1,0
1541464380000,724725,724735,724600,724611,1.2334,724667,-1,-1,0
1541464440000,724608,725000,724346,724651,1.8727,724673,0,-1,0
1541464500000,724651,724943,724347,724818,2.996,724645,0,0,0
1541464560000,724818,724943,724702,724828,3.3152,724822,0,0,0
1541464620000,724909,725040,724789,725040,2.7639,724914,0,0,0
1541464680000,724901,725300,724900,724965,2.6736,725100,0,0,0
1541464740000,725061,725258,724911,724934,1.9364,725084,-1,-1,0
