Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,Higeindex,PL
1525737600000,1018788,1018788,1017340,1018326,0.5232,1018064,-1,0,0,0
1525737660000,1018326,1019684,1018250,1018690,1.0534,1018967,0,0,0,0
1525737720000,1018725,1019493,1016837,1018049,0.8128,1018165,-1,-1,0,0
1525737780000,1018039,1018574,1017020,1018297,1.3976,1017797,0,-1,0,0
1525737840000,1018298,1018575,1018068,1018575,1.7007,1018321,0,0,1,0
1525737900000,1018575,1019688,1018575,1019688,0.8299,1019131,1,1,1,0
1525737960000,1019688,1021000,1019519,1021000,1.4686,1020259,1,2,1,0
1525738020000,1020892,1021477,1020000,1020100,1.543,1020738,-1,0,0,0
1525738080000,1020100,1022000,1020000,1020294,2.316,1021000,0,-1,0,-792
1525738140000,1020374,1021770,1020000,1020076,1.5926,1020885,-1,-1,0,-792
1525738200000,1020076,1020661,1018800,1018800,1.619,1019730,-1,-2,0,-792
1525738260000,1018802,1019951,1018802,1018949,0.073,1019376,0,-1,0,-792
1525738320000,1018949,1019698,1018949,1019001,1.8501,1019323,0,0,0,-792
1525738380000,1019010,1020100,1019000,1019017,1.0833,1019550,0,0,0,-792
1525738440000,1019028,1020200,1019001,1019433,1.9098,1019600,0,0,0,-792
1525738500000,1019609,1020105,1019445,1019845,0.8062,1019775,0,0,0,-792
1525738560000,1019841,1019970,1019500,1019500,1.3215,1019735,-1,-1,0,-792
1525738620000,1019591,1019989,1019500,1019500,1.529,1019744,-1,-2,0,-792
1525738680000,1019510,1019990,1018999,1018999,0.8276,1019494,-1,-2,0,-792
1525738740000,1018999,1019354,1018805,1019354,2.0652,1019079,0,-1,1,-792
1525738800000,1019519,1019750,1019045,1019749,0.3035,1019397,0,0,1,-792
1525738860000,1019248,1019990,1019248,1019990,1.1249,1019619,0,0,1,-792
1525738920000,1019990,1019990,1019800,1019800,1.3996,1019895,-1,-1,0,-792
1525738980000,1019980,1019990,1018805,1018805,2.9976,1019397,-1,-2,0,-792
1525739040000,1018805,1019364,1017150,1017150,1.2424,1018257,-1,-2,0,-792
1525739100000,1018918,1019079,1018895,1018900,0.9023,1018987,-1,-2,0,-792
1525739160000,1019079,1019233,1018118,1018329,1.134,1018675,-1,-2,0,-792
1525739220000,1018418,1019990,1018407,1019868,1.045,1019198,1,0,1,-792
1525739280000,1019890,1020295,1019570,1020289,1.8125,1019932,0,1,1,-792
1525739340000,1020284,1020290,1020268,1020270,0.308,1020279,-1,-1,0,-792
1525739400000,1020285,1020290,1019980,1020290,1.0102,1020135,0,-1,1,-792
1525739460000,1020290,1022000,1018745,1019000,1.1472,1020372,-1,-1,0,-792
1525739520000,1018770,1022000,1018770,1019898,0.5135,1020385,1,0,0,-792
1525739580000,1019593,1019990,1019005,1019990,1.282,1019497,0,1,1,-792
1525739640000,1019970,1019983,1019011,1019054,1.427,1019497,-1,-1,0,-792
1525739700000,1019121,1019683,1018455,1018455,0.7714,1019069,-1,-2,0,-792
1525739760000,1018456,1019976,1017778,1019976,0.6643,1018877,1,0,1,-792
1525739820000,1019545,1019966,1018396,1019876,0.1438,1019181,0,1,0,-792
1525739880000,1018910,1019976,1018088,1018955,0.9186,1019032,0,0,0,-792
1525739940000,1018952,1018955,1018151,1018376,0.3684,1018553,-1,-1,0,-792
1525740000000,1018396,1018432,1018173,1018405,0.7628,1018302,0,-1,0,-792
1525740060000,1018418,1018428,1018023,1018044,0.187,1018225,-1,-1,0,-792
1525740120000,1018848,1019104,1017844,1017902,0.226,1018474,-1,-2,0,-792
1525740180000,1017902,1018870,1016837,1016837,0.6846,1017853,-1,-2,0,-792
1525740240000,1016858,1017158,1016617,1016770,0.151,1016887,-1,-2,0,-792
1525740300000,1016739,1017039,1015026,1015352,0.9494,1016032,-1,-2,0,-792
1525740360000,1016200,1018629,1016179,1018629,0.8584,1017404,1,0,1,-792
1525740420000,1018628,1018999,1017198,1017592,1.2095,1018098,-1,0,0,-792
1525740480000,1018210,1018245,1016095,1017580,1.0251,1017170,-1,-2,0,-792
1525740540000,1017519,1018011,1016949,1017600,0.7401,1017480,0,-1,0,-792
1525740600000,1017379,1017660,1017359,1017567,0.8153,1017509,0,0,0,-792
1525740660000,1017576,1018952,1017572,1018858,0.3743,1018262,1,1,1,-792
1525740720000,1017917,1018756,1017917,1018656,0.0232,1018336,0,1,1,-792
1525740780000,1018142,1018685,1018007,1018065,0.1164,1018346,-1,-1,0,-792
1525740840000,1018529,1018756,1018000,1018122,1.0176,1018378,-1,-2,0,-792
1525740900000,1018122,1018961,1018087,1018254,0.2195,1018524,0,-1,0,-792
1525740960000,1018275,1018653,1018155,1018170,0.6999,1018404,-1,-1,0,-792
1525741020000,1018170,1018540,1018165,1018525,0.3922,1018352,0,-1,1,-792
1525741080000,1018525,1018998,1018256,1018439,0.2855,1018627,-1,-1,0,-792
1525741140000,1018435,1018881,1018435,1018870,0.0255,1018658,0,-1,1,-792
1525741200000,1018435,1018446,1018300,1018369,0.305,1018373,-1,-1,0,-792
1525741260000,1018348,1018451,1018155,1018299,1.2106,1018303,-1,-2,0,-792
1525741320000,1018299,1019000,1018299,1019000,1.8444,1018649,0,-1,1,-792
1525741380000,1019077,1020000,1019021,1019531,1.6604,1019510,0,0,0,-792
1525741440000,1019931,1019931,1019605,1019886,0.1895,1019768,-1,-1,0,-792
1525741500000,1019921,1022000,1019500,1020270,1.4497,1020750,0,-1,0,-792
1525741560000,1020265,1021578,1020265,1021578,0.6349,1020921,1,1,1,-792
1525741620000,1021000,1021990,1020904,1021500,2.7141,1021447,0,1,0,-792
1525741680000,1021505,1021945,1020762,1020885,1.6362,1021353,-1,-1,0,-792
1525741740000,1020885,1021400,1020866,1021370,1.1111,1021133,0,-1,1,-792
1525741800000,1021370,1021870,1021365,1021667,1.7643,1021617,0,0,0,-792
1525741860000,1021870,1021988,1021709,1021988,0.8823,1021848,0,0,1,-792
1525741920000,1021983,1022186,1021804,1022181,3.1695,1021995,0,0,1,-792
1525741980000,1022191,1022191,1022020,1022030,1.2338,1022105,-1,-1,0,-792
1525742040000,1022030,1022070,1021530,1021530,0.862,1021800,-1,-2,0,-792
1525742100000,1021947,1021947,1021515,1021546,0.2846,1021731,-1,-2,0,-792
1525742160000,1021541,1021546,1021366,1021515,1.3126,1021456,-1,-2,0,-792
1525742220000,1021505,1022005,1021348,1021995,0.4755,1021676,0,-1,1,-792
1525742280000,1021571,1021985,1020001,1021152,1.8665,1020993,-1,-1,0,-792
1525742340000,1021014,1021017,1020000,1020685,0.6282,1020508,-1,-2,0,-792
1525742400000,1020920,1022060,1020870,1021471,0.4935,1021465,0,-1,0,-792
1525742460000,1021522,1022059,1021333,1022001,0.598,1021696,0,0,1,-792
1525742520000,1022014,1022019,1020434,1020881,0.6682,1021226,-1,-1,0,-792
1525742580000,1020902,1021381,1020066,1020473,1.1186,1020723,-1,-2,0,-792
1525742640000,1020320,1022081,1020066,1021237,1.1071,1021073,0,-1,0,-792
1525742700000,1021838,1021838,1020761,1021060,0.538,1021299,-1,-1,0,-792
1525742760000,1021000,1021990,1020746,1021385,0.5634,1021368,0,-1,0,-792
1525742820000,1021438,1021990,1021438,1021597,0.3326,1021714,0,0,0,-792
1525742880000,1021602,1022498,1021602,1022493,2.5778,1022050,0,0,1,-792
1525742940000,1022498,1022498,1021602,1022000,1.2721,1022050,-1,-1,0,-792
1525743000000,1021999,1022500,1021251,1021261,1.9236,1021875,-1,-2,0,-792
1525743060000,1021256,1021761,1021031,1021761,0.7127,1021396,0,-1,1,-792
1525743120000,1021812,1022464,1021247,1021963,0.3886,1021855,0,0,0,-792
1525743180000,1021891,1022430,1021815,1021900,0.7979,1022122,0,0,0,-792
1525743240000,1021874,1022394,1021741,1022037,2.1416,1022067,0,0,0,-792
