Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,Higeindex,PL
1541030400000,711411,712000,711410,711626,2.1258,711705,0,0,0,0
1541030460000,711631,711798,711626,711642,0.5127,711712,0,0,0,0
1541030520000,711644,711787,711410,711611,1.4885,711598,-1,-1,0,0
1541030580000,711611,711748,711411,711674,1.1074,711579,0,-1,0,0
1541030640000,711420,711688,711411,711488,0.3432,711549,0,0,0,0
1541030700000,711489,711629,711430,711458,1.1645,711529,-1,-1,0,0
1541030760000,711532,711563,711460,711472,0.1419,711511,-1,-2,0,0
1541030820000,711470,711540,711430,711482,0.5745,711485,0,-1,0,0
1541030880000,711435,711495,711430,711450,1.5313,711462,0,0,0,0
1541030940000,711450,711538,711435,711450,0.3745,711486,0,0,0,0
1541031000000,711467,711629,711451,711550,0.2405,711540,0,0,0,0
1541031060000,711490,711620,711490,711515,0.2179,711555,0,0,0,0
1541031120000,711550,711560,711415,711461,0.4421,711487,-1,-1,0,0
1541031180000,711505,711537,711410,711416,0.3243,711473,-1,-2,0,0
1541031240000,711425,711500,711400,711400,0.5407,711450,-1,-2,0,0
1541031300000,711491,711494,711278,711400,0.6727,711386,-1,-2,0,0
1541031360000,711361,711388,711343,711388,0.0853,711365,0,-1,1,0
1541031420000,711358,711397,711348,711354,0.4933,711372,-1,-1,0,0
1541031480000,711354,711354,711354,711354,0.053,711354,0,-1,0,0
1541031540000,711348,711379,711343,711379,0.4043,711361,0,0,1,0
1541031600000,711358,711999,711353,711463,1.0077,711676,0,0,0,0
1541031660000,711450,711534,711353,711373,0.5908,711443,-1,-1,0,0
1541031720000,711373,711443,711008,711008,1.7689,711225,-1,-2,0,0
1541031780000,711008,711059,710283,711033,3.1006,710671,0,-1,0,0
1541031840000,710998,711233,710998,711233,0.4834,711115,0,0,1,0
1541031900000,711150,711150,711104,711150,0.0133,711127,0,0,0,0
1541031960000,711114,711343,711114,711133,0.3667,711228,0,0,0,0
1541032020000,711296,711343,711157,711167,0.4951,711250,-1,-1,0,0
1541032080000,711167,711191,711085,711155,0.4813,711138,-1,-2,0,0
1541032140000,711160,711219,711088,711088,0.0162,711153,-1,-2,0,0
1541032200000,711088,711363,711002,711013,0.5911,711182,-1,-2,0,0
1541032260000,711008,711010,710400,710700,1.7029,710705,-1,-2,0,0
1541032320000,710551,710790,710392,710790,0.7781,710591,0,-1,1,0
1541032380000,710607,710711,710500,710502,0.459,710605,-1,-1,0,0
1541032440000,710501,710547,710282,710438,0.3772,710414,-1,-2,0,0
1541032500000,710297,710418,710288,710294,0.1639,710353,-1,-2,0,0
1541032560000,710367,710381,710294,710326,0.0509,710337,-1,-2,0,0
1541032620000,710311,710315,710282,710282,0.8338,710298,-1,-2,0,0
1541032680000,710334,710590,710312,710589,0.4259,710451,0,-1,1,0
1541032740000,710500,710500,710294,710294,0.7842,710397,-1,-1,0,0
1541032800000,710300,710307,710299,710304,0.2314,710303,0,-1,0,0
1541032860000,710375,710385,710375,710377,0.0355,710380,0,0,0,0
1541032920000,710379,710405,710379,710382,0.0784,710392,0,0,0,0
1541032980000,710371,710405,710294,710307,0.4416,710349,-1,-1,0,0
1541033040000,710294,710294,710151,710156,0.2049,710222,-1,-2,0,0
1541033100000,710234,710254,710095,710100,1.6685,710174,-1,-2,0,0
1541033160000,710224,710238,710170,710233,0.2629,710204,0,-1,0,0
1541033220000,710183,710242,710150,710150,0.4039,710196,-1,-1,0,0
1541033280000,710142,710283,710142,710254,0.2162,710212,0,-1,0,0
1541033340000,710283,710457,710283,710315,0.2963,710370,0,0,0,0
1541033400000,710427,710555,710283,710307,0.967,710419,-1,-1,0,0
1541033460000,710407,710410,710000,710290,1.8454,710205,-1,-2,0,0
1541033520000,710290,710496,710290,710473,0.101,710393,0,-1,1,0
1541033580000,710375,710802,710287,710704,1.2936,710544,0,0,0,0
