Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,Higeindex,PL
1536710400000,701356,701938,701356,701411,0.282,701647,0,0,0,0
1536710460000,701409,701411,701000,701290,1.5036,701205,-1,0,0,0
1536710520000,701069,701290,700804,700840,2.3584,701047,-1,-2,0,0
1536710580000,700804,701231,700501,700683,0.656,700866,-1,-2,0,0
1536710640000,700678,700880,700496,700711,0.0569,700688,0,-1,0,0
1536710700000,700695,700695,700515,700565,0.208,700605,-1,-1,0,0
1536710760000,700540,700816,700257,700257,1.4388,700536,-1,-2,0,0
1536710820000,700545,700545,700058,700095,0.2756,700301,-1,-2,0,0
1536710880000,700167,700661,700132,700645,0.5129,700396,0,-1,1,0
1536710940000,700655,701488,700465,700504,0.9752,700976,-1,-1,0,0
1536711000000,700603,701092,700391,700491,0.6156,700741,-1,-2,0,0
1536711060000,700481,700541,700087,700088,1.1825,700314,-1,-2,0,0
1536711120000,700088,700530,700001,700146,0.2037,700265,0,-1,0,0
1536711180000,700021,700423,700001,700045,0.3821,700212,0,0,0,0
1536711240000,700201,700391,700055,700337,0.4542,700223,0,0,0,0
1536711300000,700363,700430,700000,700300,0.5882,700215,-1,-1,0,0
1536711360000,700126,700312,700000,700106,0.1775,700156,-1,-2,0,0
1536711420000,700106,700541,700106,700232,0.1501,700323,0,-1,0,0
1536711480000,700381,700536,700262,700297,0.1168,700399,-1,-1,0,0
1536711540000,700411,700593,700306,700532,0.3081,700449,0,-1,0,0
1536711600000,700585,700630,700209,700630,0.2479,700419,0,0,1,0
1536711660000,700560,700889,700219,700889,0.5445,700554,0,0,1,0
1536711720000,700824,701200,700450,701189,1.617,700825,0,0,1,0
1536711780000,701189,701200,700699,700755,0.6718,700949,-1,-1,0,0
1536711840000,700910,701159,700740,700949,0.1731,700949,0,-1,0,0
1536711900000,700825,701700,700713,700922,1.8656,701206,0,0,0,0
1536711960000,701130,701437,700714,701220,0.3906,701075,0,0,0,0
1536712020000,701432,701437,700729,700739,0.4353,701083,-1,-1,0,0
1536712080000,700744,701370,700702,700708,0.4589,701036,-1,-2,0,0
1536712140000,700712,700712,700614,700642,0.148,700663,-1,-2,0,0
1536712200000,700642,700674,700173,700512,0.6602,700423,-1,-2,0,0
1536712260000,700466,700728,700173,700601,0.5476,700450,0,-1,0,0
1536712320000,700704,700704,700521,700576,0.0102,700612,-1,-1,0,0
1536712380000,700566,700604,700555,700604,0.0844,700579,0,-1,1,0
1536712440000,700610,701078,700592,701021,0.4119,700835,0,0,1,0
1536712500000,701022,701130,700530,701115,1.1565,700830,0,0,1,0
1536712560000,701185,701887,700200,700878,2.6949,701043,-1,-1,0,0
1536712620000,700887,700969,700668,700936,0.856,700818,0,-1,0,0
1536712680000,700948,701121,700883,701000,2.0452,701002,0,0,0,0
1536712740000,701010,701051,701000,701005,0.7788,701025,-1,-1,0,0
1536712800000,701045,701111,701000,701053,5.4193,701055,0,-1,0,0
1536712860000,701082,701082,701000,701000,0.7534,701041,-1,-1,0,0
1536712920000,701000,701000,700673,700827,0.3848,700836,-1,-2,0,0
1536712980000,700890,701000,700683,700934,0.0966,700841,0,-1,0,0
1536713040000,700792,700897,700464,700474,1.8861,700680,-1,-1,0,0
1536713100000,700464,700474,700000,700109,1.694,700237,-1,-2,0,0
1536713160000,700004,700011,699619,699922,3.3039,699815,-1,-2,0,0
1536713220000,699917,699917,698028,699205,56.6393,698972,-1,-2,0,0
1536713280000,699009,699854,699009,699499,1.4597,699431,0,-1,0,0
1536713340000,699600,699747,698874,699376,0.5194,699310,-1,-1,0,0
1536713400000,699239,699239,698476,699189,0.9468,698857,-1,-2,0,0
1536713460000,698804,699415,698796,698872,0.8932,699105,0,-1,0,0
1536713520000,698975,699069,698920,698964,0.3838,698994,-1,-1,0,0
1536713580000,698945,699095,698797,699095,0.8037,698946,0,-1,1,0
1536713640000,699034,699864,699034,699287,0.6853,699449,0,0,0,0
1536713700000,699402,699750,697700,699457,3.6857,698725,0,0,0,0
1536713760000,699461,700006,698404,698732,0.9304,699205,-1,-1,0,0
1536713820000,698480,699349,697902,698968,2.9221,698625,0,-1,0,0
1536713880000,698845,698905,697700,698672,1.7617,698302,-1,-1,0,0
1536713940000,698672,698749,698043,698294,1.3011,698396,-1,-2,0,0
1536714000000,698526,698710,697700,697999,0.6819,698205,-1,-2,0,0
1536714060000,697997,698895,697700,698895,3.0605,698297,0,-1,1,0
1536714120000,698767,699167,698767,698767,0.3968,698967,0,0,0,0
1536714180000,698833,698910,698780,698854,0.2962,698845,0,0,0,0
1536714240000,698863,699209,698767,698767,1.9726,698988,-1,-1,0,0
1536714300000,698767,699082,698767,699082,0.5587,698924,0,-1,1,0
1536714360000,698971,699335,698967,699303,0.0692,699151,0,0,1,0
1536714420000,699343,699999,698960,699408,0.9884,699479,0,0,0,0
1536714480000,699458,699617,698990,699480,2.6476,699303,0,0,0,0
1536714540000,699460,699460,698991,699060,0.5246,699225,-1,-1,0,0
1536714600000,699067,699560,698981,699250,1.1442,699270,0,-1,0,0
1536714660000,699354,699458,699341,699447,0.294,699399,0,0,1,0
1536714720000,699456,699464,699281,699355,0.1316,699372,-1,-1,0,0
1536714780000,699310,699466,699190,699466,0.3119,699328,0,-1,1,0
1536714840000,699261,700000,698986,699001,2.0776,699493,-1,-1,0,0
1536714900000,698992,699156,698751,698963,1.9632,698953,-1,-2,0,0
1536714960000,698858,698986,698611,698729,0.1298,698798,-1,-2,0,0
1536715020000,698718,699000,698677,699000,0.4529,698838,0,-1,1,0
1536715080000,699000,699702,698999,699323,0.9421,699350,0,0,0,0
1536715140000,699328,699704,698999,699704,1.6004,699351,0,0,1,0
1536715200000,699245,699538,698112,699295,2.6312,698825,0,0,0,0
1536715260000,699294,699300,698981,699140,0.3602,699140,-1,-1,0,0
1536715320000,699279,699289,699059,699288,0.119,699174,0,-1,1,0
1536715380000,699213,699299,699213,699299,0.1443,699256,0,0,1,0
1536715440000,699299,699537,699277,699537,0.3266,699407,0,0,1,0
1536715500000,699537,699704,699424,699704,0.1496,699564,0,0,1,0
1536715560000,699699,699704,699591,699608,0.5495,699647,-1,-1,0,0
1536715620000,699668,699778,699500,699709,0.3671,699639,0,-1,0,0
1536715680000,699706,699706,699637,699682,0.1349,699671,-1,-1,0,0
1536715740000,699801,699817,699500,699532,0.7313,699658,-1,-2,0,0
1536715800000,699616,699616,699279,699345,1.4115,699447,-1,-2,0,0
1536715860000,699356,699520,699108,699363,0.2453,699314,0,-1,0,0
1536715920000,699347,699917,699347,699818,0.3391,699632,0,0,0,0
1536715980000,699641,699917,699471,699723,0.133,699694,0,0,0,0
1536716040000,699734,699886,699509,699509,0.0826,699697,-1,-1,0,0
1536716100000,699596,699999,699449,699486,0.712,699724,-1,-2,0,0
1536716160000,699491,700000,699410,699817,1.7996,699705,0,-1,0,0
1536716220000,699880,700000,699822,699995,3.0561,699911,0,0,1,0
1536716280000,699941,700000,699590,699841,0.968,699795,-1,-1,0,0
1536716340000,699712,700000,699460,699587,2.6311,699730,-1,-2,0,0
1536716400000,699587,700000,699525,699800,0.7164,699762,0,-1,0,0
1536716460000,699811,700000,699457,699532,0.443,699728,-1,-1,0,0
1536716520000,699581,699713,699552,699707,0.1745,699632,0,-1,1,0
1536716580000,699734,699828,699716,699782,0.0464,699772,0,0,0,0
1536716640000,699807,699998,699787,699899,0.3718,699892,0,0,0,0
1536716700000,699827,699987,699827,699872,0.0466,699907,0,0,0,0
1536716760000,699870,699895,699850,699895,0.2608,699872,0,0,1,0
1536716820000,699895,699998,699850,699850,0.8211,699924,-1,-1,0,0
1536716880000,699850,700000,699739,699938,0.6953,699869,0,-1,0,0
1536716940000,699897,699995,699772,699995,0.303,699883,0,0,1,0
1536717000000,700000,700000,699648,699762,1.9708,699824,-1,-1,0,0
1536717060000,699715,699735,698199,699234,1.4501,698967,-1,-2,0,0
1536717120000,699034,699034,697701,698751,1.3402,698367,-1,-2,0,0
1536717180000,698622,698757,697977,698757,0.4445,698367,0,-1,1,0
1536717240000,698618,698892,698618,698848,0.519,698755,0,0,1,0
1536717300000,698833,698920,697989,698261,1.9238,698454,-1,-1,0,0
1536717360000,698751,698751,698041,698045,1.1274,698396,-1,-2,0,0
1536717420000,698222,698813,698042,698489,0.6512,698427,0,-1,0,0
1536717480000,698488,698813,698377,698451,1.3784,698595,-1,-1,0,0
1536717540000,698440,698813,698272,698657,1.5998,698542,0,-1,0,0
1536717600000,698553,699498,698501,699212,0.8965,698999,0,0,0,0
1536717660000,699044,699200,698909,699055,0.4358,699054,0,0,0,0
1536717720000,699091,699672,698888,699057,0.8879,699280,-1,-1,0,0
1536717780000,698888,699161,698888,699059,0.6384,699024,0,-1,0,0
1536717840000,699059,699059,698570,698570,1.2448,698814,-1,-1,0,0
1536717900000,698570,698570,698005,698195,0.8601,698287,-1,-2,0,0
