Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543540980000,474554,474554,473440,474194,4.6624,473997,-1,-2,0
1543541040000,474194,475274,474109,474926,3.9542,474691,0,-1,0
1543541100000,474925,475046,474715,475036,3.2274,474880,0,0,0
1543541160000,475202,475788,475158,475338,0.3239,475473,0,0,0
1543541220000,475359,476190,475359,475444,3.6603,475774,0,0,0
1543541280000,475434,476166,475172,475996,4.6343,475669,0,0,0
1543541340000,475996,476405,475546,476405,4.6003,475975,0,0,0
1543541400000,476406,476467,476245,476388,0.9032,476356,-1,-1,0
1543541460000,476300,477000,476178,476628,1.2413,476589,0,-1,0
1543541520000,476778,477553,476565,477553,2.3155,477059,0,0,0
1543541580000,477291,477740,476851,477055,2.9864,477295,-1,-1,0
1543541640000,477258,477651,476396,476600,2.1225,477023,-1,-2,0
1543541700000,476712,477379,476571,476571,2.0356,476975,-1,-2,0
1543541760000,476670,477093,476574,476682,2.3278,476833,0,-1,0
1543541820000,476728,478100,476728,478100,4.1124,477414,1,1,0
1543541880000,477687,478625,477483,478615,5.6092,478054,0,1,0
1543541940000,478620,478620,477814,478306,12.6811,478217,-1,-1,0
1543542000000,478324,478535,478321,478338,2.2061,478428,0,-1,0
1543542060000,478420,479000,478420,479000,4.2908,478710,0,0,0
1543542120000,479010,479518,479000,479000,11.5907,479259,-1,-1,0
1543542180000,479000,479015,479000,479000,16.6078,479007,0,-1,0
1543542240000,479177,479641,479000,479000,1.6983,479320,-1,-1,0
1543542300000,479000,480300,479000,479967,2.7067,479650,0,-1,0
1543542360000,479628,480200,479000,479001,3.5718,479600,-1,-1,0
1543542420000,479000,480140,479000,479301,2.9074,479570,0,-1,0
1543542480000,479311,480000,479306,479994,1.2417,479653,0,0,0
1543542540000,479595,479928,479000,479001,2.7829,479464,-1,-1,0
1543542600000,479001,479006,479000,479000,2.9883,479003,-1,-2,0
1543542660000,479000,479001,479000,479000,3.7776,479000,0,-1,0
1543542720000,479000,479406,479000,479313,3.2395,479203,0,0,0
1543542780000,479308,479467,479205,479456,1.4094,479336,0,0,0
1543542840000,479457,479626,479205,479205,8.0089,479415,-1,-1,0
1543542900000,479205,479290,479205,479205,3.4054,479247,0,-1,0
1543542960000,479205,479210,479000,479000,4.3273,479105,-1,-1,0
1543543020000,479000,479108,479000,479000,2.8206,479054,0,-1,0
1543543080000,479000,479205,479000,479000,8.6547,479102,0,0,0
1543543140000,479000,479167,479000,479000,19.0708,479083,0,0,0
1543543200000,479000,479309,478300,478709,18.4834,478804,-1,-1,0
1543543260000,478861,479494,478456,479494,0.7636,478975,0,-1,0
1543543320000,479412,480477,478999,480477,9.2918,479738,1,1,0
1543543380000,480000,481869,480000,480751,5.3777,480934,0,1,0
1543543440000,480751,483096,480751,480863,6.3909,481923,0,0,0
1543543500000,480863,481075,480112,480469,2.4042,480593,-1,-1,0
1543543560000,480467,481075,480467,481074,4.8292,480771,0,-1,0
1543543620000,480936,482600,480935,481997,5.8758,481767,1,1,0
1543543680000,481717,482007,480900,481815,11.9819,481453,0,1,0
1543543740000,481825,481977,481000,481552,4.599,481488,-1,-1,0
1543543800000,481585,482620,481286,481911,4.3672,481953,0,-1,0
1543543860000,481742,482197,481386,481753,0.8086,481791,0,0,0
1543543920000,481754,481922,481292,481745,7.0299,481607,-1,-1,0
1543543980000,481748,482616,481661,481661,4.0003,482138,-1,-2,0
1543544040000,481660,481800,481300,481301,2.8343,481550,-1,-2,0
1543544100000,481307,481634,481292,481300,2.6956,481463,-1,-2,0
1543544160000,481292,481292,480748,480748,0.7671,481020,-1,-2,0
1543544220000,480990,481000,480030,480979,3.3171,480515,-1,-2,0
