Time,Start,Max,Min,End,Tot_trans
1523750400000,860465,861057,860465,861013,1.3777
1523750460000,861297,865000,861240,864186,1.5066
1523750520000,864187,865012,864056,864113,3.0254
1523750580000,864103,870000,864103,870000,7.0358
1523750640000,869110,871000,868832,868832,5.4017
1523750700000,869569,869569,866246,868200,2.3964
1523750760000,866712,868000,865191,866999,6.3333
1523750820000,867009,867111,865887,865887,1.0146
1523750880000,865888,867172,865538,866483,1.6870
1523750940000,866484,866738,866484,866493,1.5461
1523751000000,866731,867029,866483,867029,1.3283
1523751060000,866738,868000,866738,868000,1.5984
1523751120000,868000,869990,868000,869010,1.1734
1523751180000,869900,872756,869899,872756,3.4214
1523751240000,872762,872999,869700,871041,4.7574
1523751300000,871756,871756,869700,870000,3.1689
1523751360000,869944,871756,869000,869100,3.1674
1523751420000,869100,870800,867001,867001,1.8753
1523751480000,867358,871756,867000,868895,3.6461
1523751540000,868761,868974,867488,867488,2.8204
1523751600000,867489,870000,867157,867568,0.9740
1523751660000,867463,867848,867143,867143,1.6924
1523751720000,867076,867076,865030,866172,1.5870
1523751780000,866301,867652,866187,866954,0.4477
1523751840000,867079,867562,866693,866967,0.3934
1523751900000,867121,867121,866620,866631,0.5469
1523751960000,866620,867000,865000,866640,2.4432
1523752020000,866977,867999,866977,867999,0.4275
1523752080000,867740,868089,865322,867998,2.9673
1523752140000,868008,868077,866812,868077,2.3393
1523752200000,868137,869894,866347,869894,0.9077
1523752260000,869502,872950,869502,870936,6.1662
1523752320000,871202,871366,870000,870000,6.1333
1523752380000,870000,870509,868030,868853,1.4180
1523752440000,869046,870021,868873,869547,1.1396
1523752500000,869579,869622,869552,869622,0.3420
1523752560000,869619,870276,869095,869095,0.3621
1523752620000,869938,869945,868276,868994,0.9854
1523752680000,869004,869004,868545,868980,0.1737
1523752740000,868500,868500,867820,868000,0.3160
1523752800000,867809,868119,867809,868112,0.7697
1523752860000,868138,868475,868117,868123,0.3172
1523752920000,868123,868133,867386,867386,0.5141
1523752980000,867463,867463,866800,866810,0.2743
1523753040000,866805,866826,866800,866826,0.8666
1523753100000,866821,866826,866800,866800,0.1967
1523753160000,866805,866805,865029,865029,1.1283
1523753220000,866304,866864,866304,866864,0.3815
1523753280000,866924,867017,866878,866900,0.5451
1523753340000,866900,866981,866900,866968,0.9536
1523753400000,866499,866732,866496,866496,0.0315
1523753460000,866496,866516,866496,866516,0.0320
1523753520000,866496,866496,863900,864800,1.8599
1523753580000,864800,868012,862530,866096,2.0470
1523753640000,866360,866979,866076,866076,0.2747
1523753700000,866015,867334,866000,866345,1.1692
1523753760000,867223,867228,866476,866483,0.2466
1523753820000,866948,867100,866948,867040,0.0833
1523753880000,866627,866627,866612,866622,0.0560
1523753940000,866340,867055,866309,867055,0.0831
1523754000000,867021,867037,866064,866064,0.6265
1523754060000,866065,866065,864840,864840,0.3584
1523754120000,864845,864845,864110,864561,0.2189
1523754180000,864544,865571,864544,865457,0.8433
1523754240000,865162,865182,864000,864168,1.1768
1523754300000,864616,865865,864615,865865,2.5291
1523754360000,865314,867000,865122,866076,0.5887
1523754420000,866933,866933,866546,866547,0.2129
1523754480000,866547,867513,866547,867137,0.7766
1523754540000,867100,867999,867073,867989,0.3090
1523754600000,867989,868434,867989,868116,0.7982
1523754660000,867799,867799,865991,866300,1.5494
1523754720000,866300,867233,866285,867138,0.5074
1523754780000,866795,866795,865512,865512,0.0216
1523754840000,866502,867478,866281,867478,0.1824
1523754900000,866882,866882,865545,865545,0.0250
1523754960000,866165,867478,865545,867478,0.3258
1523755020000,867478,867478,867478,867478,0.0714
1523755080000,867071,867472,866637,867472,0.0822
1523755140000,867472,867472,867000,867020,0.2031
1523755200000,867335,867335,867335,867335,0.0010
1523755260000,867335,867478,867335,867450,0.3108
1523755320000,867468,867473,867436,867436,0.0373
1523755380000,867435,867900,867435,867900,0.5079
1523755440000,867900,868800,867900,868800,1.3901
1523755500000,868840,869000,868840,868923,0.4079
1523755560000,868908,868940,868908,868940,0.0953
1523755620000,868941,871500,868930,870360,0.8223
1523755680000,870390,870505,868556,868613,1.6992
1523755740000,868844,869015,868613,869000,1.2475
1523755800000,869000,869005,868001,868064,0.5684
1523755860000,868012,868058,868001,868052,0.4121
1523755920000,868147,868821,868031,868501,1.2468
1523755980000,868506,868516,868501,868516,0.4209
1523756040000,869098,869805,868501,868501,0.2853
1523756100000,868501,868501,867800,867805,0.7372
1523756160000,867805,867805,867805,867805,0.0000
1523756220000,868532,868995,867490,868795,0.9132
1523756280000,867159,868659,867159,867968,0.0241
1523756340000,867978,868016,867667,868001,1.2674
1523756400000,868006,868690,867149,868690,0.4752
1523756460000,868667,868700,867601,868700,0.1174
1523756520000,868690,869450,868690,869001,2.0057
1523756580000,869001,869383,868000,868000,2.1072
1523756640000,868206,868516,868201,868516,0.5357
1523756700000,868269,868435,868202,868435,0.1215
1523756760000,868501,869200,868466,868510,3.4042
1523756820000,868510,869200,868500,868500,1.3312
1523756880000,868500,868510,868500,868500,1.2240
1523756940000,868500,868510,868500,868510,0.2852
1523757000000,868510,870135,868510,870130,1.1176
1523757060000,870075,870490,869450,870191,0.4622
1523757120000,869552,870586,869117,870586,0.7863
1523757180000,870616,870935,869117,870424,0.5373
1523757240000,870398,870424,869450,869471,0.7461
1523757300000,869472,870146,869117,869117,0.1733
1523757360000,870146,870399,870146,870146,0.6640
